,program_name,singer,music,views,likes,comments,atmosphere,subject,atmos_label,sub_label
58,미스터트롯,김호중,태클을 걸지마,1107542,13626,4583,신남,인생,2,3
59,미스터트롯,김호중,이대팔,303794,2960,968,신남,인생,2,3
60,미스터트롯,김호중,무정부르스,740036,11243,4907,애절함,남녀사랑,4,1
61,미스터트롯,김호중,희망가,1564329,22467,10505,애절함,인생,4,3
62,미스터트롯,김호중,백세인생,651981,8702,1889,신남,인생,2,3
63,미스터트롯,김호중,다함께 차차차,615969,7542,1421,활기참,인생,6,3
64,미스터트롯,김호중,젊은 그대,802665,9494,2333,신남,희망부여,2,4
65,미스터트롯,김호중,천상재회,628758,14341,13169,슬픔,남녀사랑,1,1
66,미스터트롯,김호중,짝사랑,380307,7296,5213,활기참,남녀사랑,6,1
67,미스터트롯,김호중,다시 한번만,532325,9601,10951,애절함,남녀사랑,4,1
68,미스터트롯,김호중,바람남,437553,7866,3935,씁쓸함,남녀사랑,3,1
69,미스터트롯,김호중,고맙소,1062537,26141,29063,애절함,남녀사랑,4,1
70,미스터트롯,김경민,내 마음 별과 같이,363385,4021,2460,활기참,인생,6,3
71,미스터트롯,김경민,가지마,171174,777,227,활기참,인생,6,3
72,미스터트롯,김경민,사랑만은 않겠어요,144415,472,195,애절함,남녀사랑,4,1
73,미스터트롯,김경민,낭만에 대하여,135198,638,251,활기참,인생,6,3
74,미스터트롯,김경민,내생에 봄날은,167047,807,320,신남,인생,2,3
75,미스터트롯,김경민,춘자야,220675,1522,560,활기참,남녀사랑,6,1
76,미스터트롯,김경민,누이,111386,526,205,신남,남녀사랑,2,1
77,미스트롯1,송가인,한 많은 대동강,556949,4370,555,애절함,인생,4,3
78,미스트롯1,송가인,황홀한 고백,101193,470,64,활기참,남녀사랑,6,1
79,미스트롯1,송가인,용두산 엘레지,739638,6962,1843,애절함,남녀사랑,4,1
80,미스트롯1,송가인,나로 말할 것 같으면,95319,363,20,신남,인생,2,3
81,미스트롯1,송가인,tears,310794,2921,356,신남,남녀사랑,2,1
82,미스트롯1,송가인,영동부르스,245636,2237,521,애절함,남녀사랑,4,1
83,미스트롯1,송가인,진정인가요,377454,2750,450,씁쓸함,남녀사랑,3,1
84,미스트롯1,송가인,무명배우,159792,1622,223,애절함,남녀사랑,4,1
85,미스트롯1,송가인,미아리고개,652668,4798,1091,애절함,남녀사랑,4,1
86,미스트롯1,정미애,훨훨훨,70996,305,46,씁쓸함,인생,3,3
87,미스트롯1,정미애,우연히,28574,53,6,활기참,남녀사랑,6,1
88,미스트롯1,정미애,쓰리랑,82930,227,37,신남,인생,2,3
89,미스트롯1,정미애,달타령,38272,107,6,신남,인생,2,3
90,미스트롯1,정미애,수은등,134876,492,83,애절함,남녀사랑,4,1
91,미스트롯1,정미애,천하장사,54996,126,25,활기참,희망부여,6,4
92,미스트롯1,정미애,라밤바,62181,125,81,신남,남녀사랑,2,1
93,미스트롯1,정미애,장녹수,136675,310,83,씁쓸함,인생,3,3
94,미스트롯1,홍자,상사화,182585,1249,168,애절함,남녀사랑,4,1
95,미스트롯1,홍자,황홀한 고백,26520,64,9,활기참,남녀사랑,6,1
96,미스트롯1,홍자,비나리,52880,313,46,애절함,남녀사랑,4,1
97,미스트롯1,홍자,위 아래,44477,166,56,신남,남녀사랑,2,1
98,미스트롯1,홍자,와,44477,166,56,어두움,남녀사랑,5,1
99,미스트롯1,홍자,보여줄게,44477,166,56,신남,남녀사랑,2,1
100,미스트롯1,홍자,boomba,40414,139,38,신남,남녀사랑,2,1
101,미스트롯1,홍자,무조건,40414,139,38,신남,남녀사랑,2,1
102,미스트롯1,홍자,사랑 참,637383,3139,813,슬픔,남녀사랑,1,1
103,미스트롯1,홍자,콩깍지,54355,225,58,신남,남녀사랑,2,1
104,미스트롯1,홍자,여기요,70115,450,209,신남,남녀사랑,2,1
105,미스트롯1,홍자,열애,84385,411,293,슬픔,남녀사랑,1,1
106,미스트롯1,정다경,당신이 좋아,20148,74,7,신남,남녀사랑,2,1
107,미스트롯1,정다경,빨간구두 아가씨,6931,9,1,활기참,남녀사랑,6,1
108,미스트롯1,정다경,열두줄,23337,101,7,신남,남녀사랑,2,1
109,미스트롯1,정다경,벌써 12시,60525,85,10,신남,남녀사랑,2,1
110,미스트롯1,정다경,질풍가도,60525,85,10,신남,희망부여,2,4
111,미스트롯1,정다경,한잔해,34961,46,2,신남,희망부여,2,4
112,미스트롯1,정다경,내가 저지른 사랑,48417,113,43,씁쓸함,남녀사랑,3,1
113,미스트롯1,정다경,가슴 아프게,63500,218,42,애절함,남녀사랑,4,1
114,미스트롯1,정다경,미워도 다시 한번,38307,99,34,애절함,남녀사랑,4,1
115,미스트롯1,정다경,사랑의 신호등,58212,212,34,신남,남녀사랑,2,1
116,미스트롯1,정다경,약손,100237,418,87,슬픔,부모효도,1,2
117,미스트롯1,김나희,첫사랑,81403,197,67,활기참,남녀사랑,6,1
118,미스트롯1,김나희,벤치,128072,512,61,활기참,인생,6,3
119,미스트롯1,김나희,불나비(빙글빙글),62756,287,49,활기참,남녀사랑,6,1
120,미스트롯1,김나희,송인,89304,377,49,슬픔,남녀사랑,1,1
121,미스트롯1,김나희,까르보나라,61760,261,87,신남,남녀사랑,2,1
122,미스트롯1,김나희,곡예사의 첫사랑,81403,197,67,씁쓸함,남녀사랑,3,1
123,미스트롯1,김나희,콩깍지,86841,371,113,신남,남녀사랑,2,1
124,미스트롯1,김나희,봉산화 연정,83552,364,34,씁쓸함,남녀사랑,3,1
125,미스트롯1,두리,애가 타,42602,152,37,애절함,남녀사랑,4,1
126,미스트롯1,두리,천하장사,54990,126,25,신남,인생,2,3
127,미스트롯1,두리,공주는 외로워,84540,433,71,씁쓸함,인생,3,3
128,미스트롯1,두리,갈무리,42945,146,44,슬픔,남녀사랑,1,1
129,미스트롯1,두리,남자는 여자를 귀찮게 해,30523,60,9,활기참,남녀사랑,6,1
130,미스트롯1,두리,밤열차,70522,111,22,슬픔,남녀사랑,1,1
131,미스트롯1,김소유,신 사랑 고개,32281,133,9,씁쓸함,남녀사랑,3,1
132,미스트롯1,김소유,진정인가요,377552,2754,429,씁쓸함,남녀사랑,3,1
133,미스트롯1,김소유,봉선화 연정,83547,364,34,씁쓸함,남녀사랑,3,1
134,미스트롯1,김소유,오래오래 살아주세요,62377,169,15,슬픔,부모효도,1,2
135,미스트롯1,김소유,남자는 여자를 귀찮게 해,30525,60,9,활기참,남녀사랑,6,1
136,미스트롯1,김소유,사랑의 배터리,60103,84,11,신남,남녀사랑,2,1
137,미스트롯1,김소유,십분 내로,102935,388,82,활기참,남녀사랑,6,1
138,미스트롯1,숙행,황홀한 고백,101228,470,64,애절함,남녀사랑,4,1
139,미스트롯1,숙행,솔로(하여가),51638,189,25,신남,인생,2,3
140,미스트롯1,숙행,날 보러 와요,276432,587,110,활기참,남녀사랑,6,1
141,미스트롯1,숙행,미워도 다시 한 번,65990,177,74,애절함,남녀사랑,4,1
142,미스트롯1,숙행,나야 나,51678,246,46,활기참,희망부여,6,4
143,보이스트롯,박세욱,목포행 완행열차,26934,354,146,슬픔,남녀사랑,1,1
144,보이스트롯,박세욱,여자 여자 여자,4622,48,9,활기참,남녀사랑,6,1
145,보이스트롯,박세욱,봉선화 연정,4622,48,9,신남,남녀사랑,2,1
146,보이스트롯,박세욱,분위기 좋고,4622,48,9,신남,남녀사랑,2,1
147,보이스트롯,박세욱,대전 블루스,13316,137,62,애절함,과거역경,4,0
148,보이스트롯,박세욱,둠바둠바,15014,130,69,활기참,남녀사랑,6,1
149,보이스트롯,박세욱,인연,13827,92,29,슬픔,남녀사랑,1,1
150,보이스트롯,박세욱,대동강 편지,15171,161,86,씁쓸함,인생,3,3
151,보이스트롯,박세욱,저 꽃 속에 찬란한 빛이,25185,314,85,신남,과거역경,2,0
152,보이스트롯,박세욱,추억으로 가는 당신,24940,255,100,슬픔,남녀사랑,1,1
153,보이스트롯,박세욱,오래오래 살아 주세요,70868,492,153,슬픔,부모효도,1,2
154,보이스트롯,김다현,사랑님,90257,803,137,신남,남녀사랑,2,1
155,보이스트롯,김다현,정말 좋았네,22062,114,13,애절함,남녀사랑,4,1
156,보이스트롯,김다현,오늘이 젊은 날,69687,219,25,신남,희망부여,2,4
157,보이스트롯,김다현,천년 바위,216351,1800,300,애절함,인생,4,3
158,보이스트롯,김다현,아모르파티,75621,513,63,신남,희망부여,2,4
159,보이스트롯,김다현,무슨 사랑,77858,403,56,신남,남녀사랑,2,1
160,보이스트롯,김다현,님의 등불,91755,504,84,애절함,남녀사랑,4,1
161,보이스트롯,김다현,사랑아,157493,1401,175,슬픔,남녀사랑,1,1
162,보이스트롯,김다현,용두산 에레지,108529,606,69,애절함,남녀사랑,4,1
163,보이스트롯,김다현,엄마의 노래,243183,2004,370,슬픔,부모효도,1,2
164,보이스트롯,조문근,찬찬찬,10735,78,14,씁쓸함,남녀사랑,3,1
165,보이스트롯,조문근,차 표 한장,8960,59,12,씁쓸함,남녀사랑,3,1
166,보이스트롯,조문근,창밖의 여자,23622,317,95,씁쓸함,남녀사랑,3,1
167,보이스트롯,조문근,제발,13246,135,22,슬픔,남녀사랑,1,1
168,보이스트롯,조문근,타타타,20786,242,105,활기참,인생,6,3
169,보이스트롯,조문근,가라지,18973,225,74,활기참,인생,6,3
170,보이스트롯,조문근,난 괜찮아,19060,229,39,씁쓸함,남녀사랑,3,1
171,보이스트롯,조문근,홍시,40493,331,62,슬픔,부모효도,1,2
172,보이스트롯,홍경민,남자라는 이유로,26717,160,43,씁쓸함,인생,3,3
173,보이스트롯,홍경민,고맙소,19989,139,44,애절함,남녀사랑,4,1
174,보이스트롯,홍경민,나팔바지,53752,354,57,신남,희망부여,2,4
175,보이스트롯,홍경민,한 오백 년,22201,203,74,씁쓸함,남녀사랑,3,1
176,보이스트롯,홍경민,전선야곡,44600,245,274,슬픔,부모효도,1,2
177,보이스트롯,홍경민,이차선 다리,19075,257,45,슬픔,남녀사랑,1,1
178,보이스트롯,홍경민,빈 지게,10617,88,45,씁쓸함,인생,3,3
179,보이스트롯,문희경,한 많은 대동강,28069,157,27,애절함,인생,4,3
180,보이스트롯,문희경,너는 내남자,8386,28,0,활기참,남녀사랑,6,1
181,보이스트롯,문희경,돌리도,14351,69,12,신남,남녀사랑,2,1
182,보이스트롯,문희경,무슨 사랑,77974,404,56,신남,남녀사랑,2,1
183,보이스트롯,문희경,어매,13751,73,7,씁쓸함,인생,3,3
184,보이스트롯,문희경,훨훨훨,10658,54,15,씁쓸함,인생,3,3
185,보이스트롯,문희경,신사랑고개,6642,37,2,활기참,남녀사랑,6,1
186,보이스트롯,문희경,보여줄게,13540,99,14,활기참,남녀사랑,6,1
187,보이스트롯,박광현,보릿고개,34819,252,50,애절함,인생,4,3
188,보이스트롯,박광현,여자의 일생,6159,28,6,애절함,인생,4,3
189,보이스트롯,박광현,정말 좋았네,9130,35,10,활기참,남녀사랑,6,1
190,보이스트롯,박광현,미인,7278,66,15,신남,남녀사랑,2,1
191,보이스트롯,박광현,몇 미터 앞에 두고,7422,46,12,씁쓸함,남녀사랑,3,1
192,보이스트롯,박광현,내 나이가 어때서,7849,38,0,신남,인생,2,3
193,보이스트롯,박광현,간대요 글쎄,8027,49,10,씁쓸함,남녀사랑,3,1
194,보이스트롯,슬리피,황진이,39706,359,137,활기참,남녀사랑,6,1
195,보이스트롯,슬리피,최 진사댁 셋째 딸,9599,159,41,신남,남녀사랑,2,1
196,보이스트롯,슬리피,유쾌 상쾌 통쾌,28616,395,139,신남,인생,2,3
197,보이스트롯,슬리피,신토불이,18485,211,106,활기참,인생,6,3
198,보이스트롯,슬리피,니가 왜 거기서 나와,25355,964,239,신남,남녀사랑,2,1
199,보이스트롯,슬리피,강원도 아리랑,15027,252,46,애절함,남녀사랑,4,1
200,보이스트롯,슬리피,곡예사의 첫사랑,15859,123,37,애절함,남녀사랑,4,1
201,보이스트롯,슬리피,빈대떡 신사,13742,84,33,활기참,인생,6,3
202,보이스트롯,추대엽,어머니,12375,85,22,슬픔,부모효도,1,2
203,보이스트롯,추대엽,안돼요 안돼,14160,114,38,슬픔,남녀사랑,1,1
204,보이스트롯,추대엽,왜 돌아보오,6931,53,11,슬픔,남녀사랑,1,1
205,보이스트롯,추대엽,빈대떡 신사,13742,84,33,활기참,인생,6,3
206,보이스트롯,추대엽,너무 아픈 사랑은 사랑이 아니었음을,16047,245,66,애절함,남녀사랑,4,1
207,보이스트롯,추대엽,애인,6849,54,16,애절함,남녀사랑,4,1
208,보이스트롯,추대엽,옥경이,13390,99,40,씁쓸함,남녀사랑,3,1
209,보이스트롯,추대엽,멋진 인생,8714,39,9,활기참,희망부여,6,4
210,보이스트롯,추대엽,간대요 글쎄,6903,39,6,씁쓸함,남녀사랑,3,1
211,트롯신이 떳다,강문경,검정 고무신,41694,416,118,씁쓸함,부모효도,3,2
212,트롯신이 떳다,강문경,봉선화 연정,34237,434,261,씁쓸함,남녀사랑,3,1
213,트롯신이 떳다,강문경,당신이 좋아,35131,390,114,활기참,남녀사랑,6,1
214,트롯신이 떳다,강문경,꿈에 본 내 고향,18173,215,101,씁쓸함,인생,3,3
215,트롯신이 떳다,강문경,미운 사랑,83902,628,186,애절함,남녀사랑,4,1
216,트롯신이 떳다,강문경,아버지의 강,137329,1389,480,슬픔,부모효도,1,2
217,트롯신이 떳다,강문경,보릿고개,87565,904,217,슬픔,과거역경,1,0
218,트롯신이 떳다,나상도,사내,22774,166,49,활기참,인생,6,3
219,트롯신이 떳다,나상도,가슴 아프게,13580,159,20,슬픔,남녀사랑,1,1
220,트롯신이 떳다,나상도,땡벌,13920,131,20,신남,남녀사랑,2,1
221,트롯신이 떳다,나상도,고향역,27841,180,33,활기참,인생,6,3
222,트롯신이 떳다,나상도,남자라는 이유로,19843,150,226,씁쓸함,인생,3,3
223,트롯신이 떳다,나상도,사랑의 트위스트,10845,74,19,신남,남녀사랑,2,1
224,트롯신이 떳다,나상도,진정인가요,17467,86,26,씁쓸함,남녀사랑,3,1
225,트롯신이 떳다,나상도,울긴 왜 울어,15184,116,30,활기참,인생,6,3
226,트롯신이 떳다,한봄,내장산,66298,587,183,활기참,인생,6,3
227,트롯신이 떳다,한봄,잠깐만,34122,302,77,활기참,남녀사랑,6,1
228,트롯신이 떳다,한봄,날 버린 남자,36,239,10,활기참,남녀사랑,6,1
229,트롯신이 떳다,한봄,사랑만은 않겠어요,56283,423,119,씁쓸함,남녀사랑,3,1
230,트롯신이 떳다,한봄,미운 사내,35562,155,107,활기참,남녀사랑,6,1
231,트롯신이 떳다,한봄,오늘이 젊은 날,40502,308,106,신남,인생,2,3
232,트롯신이 떳다,한봄,오래오래 살아주세요,23989,168,43,애절함,부모효도,4,2
233,트롯신이 떳다,한봄,찻잔의 이별,24323,172,60,씁쓸함,남녀사랑,3,1
234,트롯신이 떳다,손빈아,대동강 편지,24012,198,382,씁쓸함,인생,3,3
235,트롯신이 떳다,손빈아,사랑이 이런 건가요,23185,203,138,신남,남녀사랑,2,1
236,트롯신이 떳다,손빈아,창 밖의 여자,26019,179,101,애절함,남녀사랑,4,1
237,트롯신이 떳다,손빈아,목포의 눈물,16174,139,175,슬픔,남녀사랑,1,1
238,트롯신이 떳다,손빈아,준비없는 이별,25167,189,83,슬픔,남녀사랑,1,1
239,트롯신이 떳다,손빈아,천년 바위,14615,126,55,씁쓸함,인생,3,3
240,트롯신이 떳다,배아현,삼다도 소식,27278,242,71,신남,남녀사랑,2,1
241,트롯신이 떳다,배아현,초혼,20262,103,28,애절함,남녀사랑,4,1
242,트롯신이 떳다,배아현,맹꽁이 타령,20715,148,27,신남,남녀사랑,2,1
243,트롯신이 떳다,배아현,황포 돛대,37756,203,56,씁쓸함,남녀사랑,3,1
244,트롯신이 떳다,배아현,미운 사내,35566,155,107,활기참,남녀사랑,6,1
245,트롯신이 떳다,배아현,꽃바람,54708,218,88,기쁨,남녀사랑,0,1
246,트롯신이 떳다,배아현,초립동,28356,129,49,슬픔,인생,1,3
247,트롯신이 떳다,최우진,고장난 벽시계,35384,323,101,씁쓸함,인생,3,3
248,트롯신이 떳다,최우진,태클을 걸지마,30487,268,144,신남,인생,2,3
249,트롯신이 떳다,최우진,낙엽따라 가버린 사랑,10845,153,97,씁쓸함,남녀사랑,3,1
250,트로트의 민족,장명서,소풍같은 인생,11308,64,12,애절함,인생,4,3
251,트롯신이 떳다,최우진,연상의 여인,23907,232,165,씁쓸함,남녀사랑,3,1
252,트롯신이 떳다,최우진,남자라는 이유로,19855,150,226,씁쓸함,인생,3,3
253,트롯신이 떳다,최우진,막걸리 한잔,16230,230,225,활기참,부모효도,6,2
254,트롯신이 떳다,최우진,비내리는 영동교,13096,131,51,씁쓸함,남녀사랑,3,1
255,트롯신이 떳다,최우진,청춘을 돌려다오,11353,110,57,활기참,인생,6,3
256,트롯신이 떳다,이제나,인생,35782,308,161,슬픔,인생,1,3
257,트롯신이 떳다,이제나,빨간 립스틱,16199,140,80,신남,남녀사랑,2,1
258,트롯신이 떳다,이제나,잠깐,14521,87,54,활기참,남녀사랑,6,1
259,트롯신이 떳다,이제나,꽃을 든 남자,21345,243,144,신남,남녀사랑,2,1
260,트롯신이 떳다,이제나,미인,21345,243,144,신남,남녀사랑,2,1
261,트롯신이 떳다,이제나,여러분,22826,171,54,슬픔,인생,1,3
262,트롯신이 떳다,이제나,이제는,11901,61,29,신남,남녀사랑,2,1
263,트롯신이 떳다,이제나,내 하나의 사람은 가고,16214,75,43,슬픔,남녀사랑,1,1
264,트롯신이 떳다,풍금,아씨,37596,329,74,슬픔,인생,1,3
265,트롯신이 떳다,풍금,울 엄마,54946,500,110,애절함,부모효도,4,2
266,트롯신이 떳다,풍금,아이라예,19002,152,33,활기참,남녀사랑,6,1
267,트롯신이 떳다,풍금,환희,20051,71,10,활기참,인생,6,3
268,트롯신이 떳다,풍금,섬마을 선생님,14812,135,42,애절함,남녀사랑,4,1
269,트롯신이 떳다,풍금,무인도,19526,178,35,씁쓸함,인생,3,3
270,트롯신이 떳다,풍금,사랑했는데,18924,146,113,슬픔,남녀사랑,1,1
271,트롯신이 떳다,풍금,곡예사의 첫사랑,11190,73,32,애절함,남녀사랑,4,1
272,트로트의 민족,안성준,오빠는 풍각쟁이,31997,360,85,활기참,남녀사랑,6,1
273,트로트의 민족,안성준,부산 갈매기,8168,92,51,애절함,남녀사랑,4,1
274,트로트의 민족,안성준,마음이 고와야지,6187,60,11,활기참,남녀사랑,6,1
275,트로트의 민족,안성준,빈대떡 신사,12668,171,79,신남,인생,2,3
276,트로트의 민족,안성준,토요일 밤에,8986,132,45,신남,인생,2,3
277,트로트의 민족,안성준,신라의 달밤,8986,132,45,활기참,인생,6,3
278,트로트의 민족,안성준,홍콩의 거리,8986,132,45,신남,남녀사랑,2,1
279,트로트의 민족,안성준,한잔해,8986,132,45,신남,인생,2,3
280,트로트의 민족,안성준,첫 차,8986,132,45,활기참,남녀사랑,6,1
281,트로트의 민족,안성준,해뜰날,26422,288,56,활기참,희망부여,6,4
282,트로트의 민족,안성준,99.9,11001,146,22,활기참,남녀사랑,6,1
283,트로트의 민족,안성준,잡초,30537,382,96,씁쓸함,인생,3,3
284,트로트의 민족,안성준,제비처럼,43194,439,80,씁쓸함,남녀사랑,3,1
285,트로트의 민족,안성준,마스크,21109,285,46,신남,인생,2,3
286,트로트의 민족,김소연,나이야 가라,163613,941,206,활기참,인생,6,3
287,트로트의 민족,김소연,엄마의 노래,18164,61,11,애절함,부모효도,4,2
288,트로트의 민족,김소연,아이 좋아라,39251,196,39,신남,남녀사랑,2,1
289,트로트의 민족,김소연,천태만상,7670,60,6,신남,인생,2,3
290,트로트의 민족,김소연,섬마을 선생님,7670,60,6,애절함,남녀사랑,4,1
291,트로트의 민족,김소연,추억의 트위스트,7670,60,6,신남,남녀사랑,2,1
292,트로트의 민족,김소연,회룡포,11309,73,14,씁쓸함,인생,3,3
293,트로트의 민족,김소연,최고다 당신,17524,97,13,활기참,남녀사랑,6,1
294,트로트의 민족,김소연,낭랑 18세,13660,116,28,활기참,남녀사랑,6,1
295,트로트의 민족,김소연,꽃바람,27322,145,23,애절함,남녀사랑,4,1
296,트로트의 민족,김소연,그대로 멈춰라,24649,149,30,신남,남녀사랑,2,1
297,트로트의 민족,김재롱,시계바늘,11622,80,14,활기참,인생,6,3
298,트로트의 민족,김재롱,너나 나나,5676,64,14,활기참,인생,6,3
299,트로트의 민족,김재롱,아내의 생일,9572,91,28,신남,남녀사랑,2,1
300,트로트의 민족,김재롱,칠갑산,6013,46,24,슬픔,부모효도,1,2
301,트로트의 민족,김재롱,쑈쑈쑈,5750,50,6,활기참,인생,6,3
302,트로트의 민족,김재롱,폼나게 살거야,8279,92,25,활기참,인생,6,3
303,트로트의 민족,김재롱,압구정 신사,10202,93,26,애절함,남녀사랑,4,1
304,트로트의 민족,김재롱,둥지,14635,95,24,활기참,남녀사랑,6,1
305,트로트의 민족,더블레스,사나이 순정,14623,233,142,신남,남녀사랑,2,1
306,트로트의 민족,더블레스,바람꽃,3186,54,19,씁쓸함,인생,3,3
307,트로트의 민족,더블레스,여로,7640,121,32,씁쓸함,인생,3,3
308,트로트의 민족,더블레스,갈색추억,6293,58,15,슬픔,남녀사랑,1,1
309,트로트의 민족,더블레스,가지마,4637,61,25,슬픔,남녀사랑,1,1
310,트로트의 민족,더블레스,품,6999,63,26,애절함,남녀사랑,4,1
311,트로트의 민족,더블레스,일편단심 민들레야,7480,51,20,애절함,남녀사랑,4,1
312,트로트의 민족,송민준,누가울어,21182,438,123,애절함,남녀사랑,4,1
313,트로트의 민족,송민준,가슴아프게,18279,102,44,애절함,남녀사랑,4,1
314,트로트의 민족,송민준,영영,5292,95,44,애절함,남녀사랑,4,1
315,트로트의 민족,송민준,공부합시다,6092,81,25,신남,인생,2,3
316,트로트의 민족,송민준,사랑은 나비인가봐,6092,81,25,활기참,남녀사랑,6,1
317,트로트의 민족,송민준,고장난 벽시계,6092,81,25,신남,인생,2,3
318,트로트의 민족,송민준,오르락내리락,6092,81,25,활기참,인생,6,3
319,트로트의 민족,송민준,다함께 차차차,6092,81,25,신남,남녀사랑,2,1
320,트로트의 민족,송민준,우연히,4359,95,29,활기참,남녀사랑,6,1
321,트로트의 민족,송민준,...라구요,9788,170,56,애절함,부모효도,4,2
322,트로트의 민족,송민준,울 아버지,4777,94,36,애절함,부모효도,4,2
323,트로트의 민족,장명서,얄미운 사람,10693,72,8,활기참,남녀사랑,6,1
324,트로트의 민족,장명서,꽃,6047,43,5,활기참,남녀사랑,6,1
